loss,model_loss,model_1_loss,model_AE_ACC,model_MLP_ACC,model_1_AE_ACC,model_1_MLP_ACC,val_loss,val_model_loss,val_model_1_loss,val_model_AE_ACC,val_model_MLP_ACC,val_model_1_AE_ACC,val_model_1_MLP_ACC
0.24929480254650116,0.1359771192073822,0.11331783980131149,0.7474480867385864,0.7474480867385864,0.7618952393531799,0.7618952393531799,0.12351495027542114,0.06444193422794342,0.059073030948638916,0.8400196433067322,0.8400196433067322,0.8521369099617004,0.8521369099617004
0.14392289519309998,0.07421741634607315,0.06970538198947906,0.8232500553131104,0.8232500553131104,0.8268163800239563,0.8268163800239563,0.11281708627939224,0.05776948481798172,0.05504757910966873,0.8521369099617004,0.8521369099617004,0.8560668230056763,0.8560668230056763
0.13395744562149048,0.06828413903713226,0.0656733512878418,0.8342400789260864,0.8342400789260864,0.8352771997451782,0.8352771997451782,0.10942818969488144,0.055500902235507965,0.05392729863524437,0.8554118275642395,0.8554118275642395,0.8580317497253418,0.8580317497253418
0.12879684567451477,0.06546314805746078,0.0633336752653122,0.8386251330375671,0.8386251330375671,0.8377699851989746,0.8377699851989746,0.10618037730455399,0.05366544798016548,0.052514880895614624,0.8599967360496521,0.8599967360496521,0.8609791994094849,0.8609791994094849
0.12651386857032776,0.06391169130802155,0.062602199614048,0.8400807976722717,0.8400807976722717,0.840262770652771,0.840262770652771,0.10433550924062729,0.05281386896967888,0.05152164772152901,0.8563942909240723,0.8563942909240723,0.8581954836845398,0.8581954836845398
0.12411613017320633,0.06273196637630463,0.06138412281870842,0.84113609790802,0.84113609790802,0.84139084815979,0.84139084815979,0.10432564467191696,0.052407145500183105,0.051918499171733856,0.8554118275642395,0.8554118275642395,0.857213020324707,0.857213020324707
0.12342071533203125,0.06237342208623886,0.06104738637804985,0.8419003486633301,0.8419003486633301,0.8403900861740112,0.8403900861740112,0.10242582857608795,0.05176325514912605,0.05066258832812309,0.8598330020904541,0.8598330020904541,0.8593417406082153,0.8593417406082153
0.12186175584793091,0.06152701750397682,0.060334786772727966,0.8426645398139954,0.8426645398139954,0.8425189852714539,0.8425189852714539,0.10208107531070709,0.05146073177456856,0.05062032863497734,0.8578680157661438,0.8578680157661438,0.8591780066490173,0.8591780066490173
0.1204296350479126,0.060931235551834106,0.05949836224317551,0.8441383838653564,0.8441383838653564,0.8433741331100464,0.8433741331100464,0.10133536159992218,0.051160331815481186,0.0501750148832798,0.8596692085266113,0.8596692085266113,0.8606517314910889,0.8606517314910889
0.11989227682352066,0.06067844107747078,0.05921376496553421,0.844411313533783,0.844411313533783,0.8437744379043579,0.8437744379043579,0.10097123682498932,0.050935860723257065,0.050035350024700165,0.8603242039680481,0.8603242039680481,0.8611429333686829,0.8611429333686829
0.11975755542516708,0.06061123311519623,0.05914638936519623,0.8437926173210144,0.8437926173210144,0.8447570204734802,0.8447570204734802,0.10081170499324799,0.05059077963232994,0.05022091418504715,0.8591780066490173,0.8591780066490173,0.8603242039680481,0.8603242039680481
0.11850162595510483,0.05993959680199623,0.058562055230140686,0.8443930745124817,0.8443930745124817,0.8461398482322693,0.8461398482322693,0.09985416382551193,0.0503249317407608,0.049529220908880234,0.8616341948509216,0.8616341948509216,0.8599967360496521,0.8599967360496521
0.11738771200180054,0.05949794873595238,0.057889699935913086,0.8453938364982605,0.8453938364982605,0.846048891544342,0.846048891544342,0.10135918855667114,0.050708137452602386,0.050651054829359055,0.8599967360496521,0.8599967360496521,0.8550843000411987,0.8550843000411987
0.11735053360462189,0.05940132588148117,0.05794908478856087,0.8452118635177612,0.8452118635177612,0.8470678329467773,0.8470678329467773,0.0994705930352211,0.04987413436174393,0.049596454948186874,0.8611429333686829,0.8611429333686829,0.8614704608917236,0.8614704608917236
0.11659984290599823,0.05900834500789642,0.057591523975133896,0.8450663089752197,0.8450663089752197,0.8460670709609985,0.8460670709609985,0.10016586631536484,0.0506916269659996,0.04947420209646225,0.8608154654502869,0.8608154654502869,0.8611429333686829,0.8611429333686829
0.11643446981906891,0.058909229934215546,0.05752518028020859,0.8461398482322693,0.8461398482322693,0.8482869267463684,0.8482869267463684,0.09784948825836182,0.04955906420946121,0.048290397971868515,0.8608154654502869,0.8608154654502869,0.8614704608917236,0.8614704608917236
0.11661569774150848,0.0589577779173851,0.05765802040696144,0.845375657081604,0.845375657081604,0.8461398482322693,0.8461398482322693,0.10026796907186508,0.050393059849739075,0.04987487569451332,0.8596692085266113,0.8596692085266113,0.8613067269325256,0.8613067269325256
0.11677923053503036,0.059046629816293716,0.05773249268531799,0.844575047492981,0.844575047492981,0.8460306525230408,0.8460306525230408,0.10182950645685196,0.0513700395822525,0.05045945197343826,0.8588504791259766,0.8588504791259766,0.8604879379272461,0.8604879379272461
0.11598342657089233,0.05869464576244354,0.057288821786642075,0.8473043441772461,0.8473043441772461,0.8483051061630249,0.8483051061630249,0.1007518544793129,0.05067892745137215,0.05007292330265045,0.8601604700088501,0.8601604700088501,0.8606517314910889,0.8606517314910889
0.11518571525812149,0.058190662413835526,0.056995149701833725,0.8481413125991821,0.8481413125991821,0.8478502035140991,0.8478502035140991,0.09875992685556412,0.049952298402786255,0.04880760610103607,0.8591780066490173,0.8591780066490173,0.8617979288101196,0.8617979288101196
