loss,model_3_loss,model_4_loss,model_3_AE_ACC,model_3_MLP_ACC,model_4_AE_ACC,model_4_MLP_ACC,val_loss,val_model_3_loss,val_model_4_loss,val_model_3_AE_ACC,val_model_3_MLP_ACC,val_model_4_AE_ACC,val_model_4_MLP_ACC
0.23641324043273926,0.13086411356925964,0.10554923117160797,0.7276212573051453,0.7276212573051453,0.7574527263641357,0.7574527263641357,0.09514595568180084,0.04859638586640358,0.046549566090106964,0.8883557915687561,0.8883557915687561,0.8710094094276428,0.8710094094276428
0.11736857891082764,0.06085752323269844,0.05651099607348442,0.8419854640960693,0.8419854640960693,0.8463320732116699,0.8463320732116699,0.0763518288731575,0.04028710722923279,0.036064717918634415,0.9036722779273987,0.9036722779273987,0.9156671166419983,0.9156671166419983
0.10575281828641891,0.05470830202102661,0.051044490188360214,0.8574035167694092,0.8574035167694092,0.8603354096412659,0.8603354096412659,0.07246686518192291,0.03800932690501213,0.03445754945278168,0.9020114541053772,0.9020114541053772,0.9145599007606506,0.9145599007606506
0.09966856241226196,0.051484934985637665,0.048183634877204895,0.8656661510467529,0.8656661510467529,0.8681264519691467,0.8681264519691467,0.0669039785861969,0.03528634458780289,0.03161761909723282,0.8878021836280823,0.8878021836280823,0.9217568039894104,0.9217568039894104
0.09494312107563019,0.048966508358716965,0.04597656801342964,0.8725345730781555,0.8725345730781555,0.8741952776908875,0.8741952776908875,0.06508514285087585,0.03471007198095322,0.030375076457858086,0.9162207245826721,0.9162207245826721,0.9200959801673889,0.9200959801673889
0.09225209057331085,0.04752124473452568,0.04473086819052696,0.8761635422706604,0.8761635422706604,0.8771886825561523,0.8771886825561523,0.06200007349252701,0.03305087611079216,0.028949201107025146,0.9202805161476135,0.9202805161476135,0.9206495881080627,0.9206495881080627
0.08991304785013199,0.04658259078860283,0.04333052784204483,0.8782753348350525,0.8782753348350525,0.8806946277618408,0.8806946277618408,0.06118973717093468,0.03252381831407547,0.0286659337580204,0.917697012424469,0.917697012424469,0.9263702034950256,0.9263702034950256
0.08820223063230515,0.04563887044787407,0.04256333410739899,0.8804895877838135,0.8804895877838135,0.8845901489257812,0.8845901489257812,0.059257231652736664,0.031381331384181976,0.02787589095532894,0.9212031960487366,0.9212031960487366,0.9265547394752502,0.9265547394752502
0.08569866418838501,0.04447408765554428,0.04122454673051834,0.8838930726051331,0.8838930726051331,0.8871119618415833,0.8871119618415833,0.0591190829873085,0.031538527458906174,0.027580557391047478,0.913452684879303,0.913452684879303,0.9188042283058167,0.9188042283058167
0.08536446839570999,0.04442751035094261,0.04093701392412186,0.8833394646644592,0.8833394646644592,0.8872554898262024,0.8872554898262024,0.05662740021944046,0.030005471780896187,0.02662191540002823,0.9224949479103088,0.9224949479103088,0.9236021637916565,0.9236021637916565
0.08331656455993652,0.04348290339112282,0.03983365371823311,0.8864353895187378,0.8864353895187378,0.889961838722229,0.889961838722229,0.05926326662302017,0.03105270303785801,0.028210552409291267,0.9204650521278381,0.9204650521278381,0.9206495881080627,0.9206495881080627
0.08345527201890945,0.04340118542313576,0.04005414620041847,0.8868659734725952,0.8868659734725952,0.890576958656311,0.890576958656311,0.05611289292573929,0.02953532710671425,0.026577580720186234,0.9263702034950256,0.9263702034950256,0.9272928833961487,0.9272928833961487
0.08204317837953568,0.042752884328365326,0.03929027542471886,0.887747585773468,0.887747585773468,0.8917456269264221,0.8917456269264221,0.05630088225007057,0.029642529785633087,0.02665835991501808,0.9236021637916565,0.9236021637916565,0.928584635257721,0.928584635257721
0.08174380660057068,0.04264393076300621,0.03909991309046745,0.8882806301116943,0.8882806301116943,0.8911510109901428,0.8911510109901428,0.055002611130476,0.02921605296432972,0.025786571204662323,0.925262987613678,0.925262987613678,0.9315372109413147,0.9315372109413147
0.08013622462749481,0.041660986840724945,0.03847523033618927,0.8908435106277466,0.8908435106277466,0.8935498595237732,0.8935498595237732,0.0545974001288414,0.028150159865617752,0.0264472384005785,0.9272928833961487,0.9272928833961487,0.9272928833961487,0.9272928833961487
0.08001602441072464,0.04173380509018898,0.03828221932053566,0.8899003863334656,0.8899003863334656,0.8931602835655212,0.8931602835655212,0.054623525589704514,0.028814369812607765,0.025809165090322495,0.9256320595741272,0.9256320595741272,0.9293227791786194,0.9293227791786194
0.07972145825624466,0.04158353805541992,0.038137901574373245,0.8910894989967346,0.8910894989967346,0.8941649198532104,0.8941649198532104,0.05312115699052811,0.028042584657669067,0.025078581646084785,0.9265547394752502,0.9265547394752502,0.9306145310401917,0.9306145310401917
0.07883389294147491,0.041274163872003555,0.037559717893600464,0.8914995789527893,0.8914995789527893,0.8969327807426453,0.8969327807426453,0.05324982851743698,0.028033580631017685,0.025216246023774147,0.9271083474159241,0.9271083474159241,0.9307990670204163,0.9307990670204163
0.07787476480007172,0.040736161172389984,0.03713864088058472,0.8932217955589294,0.8932217955589294,0.8958256244659424,0.8958256244659424,0.05411244556307793,0.028415953740477562,0.025696484372019768,0.9258165955543518,0.9258165955543518,0.9311681389808655,0.9311681389808655
0.07730236649513245,0.0403151698410511,0.03698718547821045,0.8939393758773804,0.8939393758773804,0.8979784250259399,0.8979784250259399,0.051847826689481735,0.02723834291100502,0.02460949495434761,0.9291382431983948,0.9291382431983948,0.9335671067237854,0.9335671067237854
