loss,MLP_ACC,val_loss,val_MLP_ACC
0.08909532427787781,0.9432646036148071,0.004978150594979525,0.9986053109169006
0.04577023535966873,0.9622539281845093,0.003361957613378763,0.999767541885376
0.043166615068912506,0.9640365839004517,0.004736465867608786,0.9986053109169006
0.042252328246831894,0.9626156091690063,0.002745108213275671,1.0
0.041300974786281586,0.9652508497238159,0.004650352988392115,0.999535083770752
0.03986101597547531,0.9651991724967957,0.006137465126812458,0.9981403946876526
0.03884849697351456,0.9669818878173828,0.006195974536240101,0.9988377690315247
0.0387430302798748,0.9669302105903625,0.004130961839109659,0.9983728528022766
0.037479523569345474,0.9681186676025391,0.004539888817816973,0.999535083770752
0.037666939198970795,0.9674727320671082,0.004817987326532602,0.999767541885376
0.03656679019331932,0.9684286713600159,0.0073799253441393375,0.9983728528022766
0.036411091685295105,0.9686869978904724,0.004449418280273676,0.999535083770752
0.03586477413773537,0.9696429371833801,0.002756403060629964,0.999767541885376
0.034845005720853806,0.968997061252594,0.005069568287581205,0.9983728528022766
0.0344657339155674,0.9699271321296692,0.005685796961188316,0.9974430203437805
0.03488532081246376,0.9695912599563599,0.005909317173063755,0.9993026256561279
0.03527131676673889,0.969203770160675,0.004587071482092142,0.999535083770752
0.034066133201122284,0.9707280397415161,0.003326497972011566,0.9993026256561279
0.03434252366423607,0.9701338410377502,0.0047439103946089745,0.9981403946876526
0.034070149064064026,0.9699788093566895,0.005665410775691271,0.999535083770752
