loss,MLP_ACC,val_loss,val_MLP_ACC
0.1339568793773651,0.7500083446502686,0.05221112444996834,0.8968361020088196
0.09508685767650604,0.804071843624115,0.04772988706827164,0.9247263669967651
0.08981766551733017,0.8134850263595581,0.045184455811977386,0.9338731169700623
0.08718005567789078,0.817916750907898,0.04738796129822731,0.8986355066299438
0.08634986728429794,0.8178501129150391,0.04439905658364296,0.9176788330078125
0.08285897970199585,0.8280630707740784,0.04360554367303848,0.913480281829834
0.08228197693824768,0.8260970711708069,0.049288153648376465,0.8843904733657837
0.08002233505249023,0.8321282267570496,0.043414998799562454,0.9112310409545898
0.07916086167097092,0.8319782614707947,0.04299305006861687,0.9286249876022339
0.07909102737903595,0.8319116234779358,0.04620583727955818,0.913180410861969
0.0784974917769432,0.834227442741394,0.04259471967816353,0.9064327478408813
0.07694815844297409,0.8369264602661133,0.04153510555624962,0.9059829115867615
0.07697135955095291,0.8379927277565002,0.04235951974987984,0.9089818596839905
0.0755080133676529,0.8413081765174866,0.04113036021590233,0.9050832390785217
0.07558867335319519,0.8400586247444153,0.04398553445935249,0.9016344547271729
0.07455231994390488,0.8417080640792847,0.045267824083566666,0.8932373523712158
0.07471373677253723,0.8414747714996338,0.0420951247215271,0.9068825840950012
0.07320449501276016,0.8462730050086975,0.043542325496673584,0.8999850153923035
0.07314259558916092,0.8456066250801086,0.04096789285540581,0.9229269623756409
0.07337162643671036,0.8458898663520813,0.04154157638549805,0.9095816612243652
