loss,MLP_ACC,val_loss,val_MLP_ACC
0.12219144403934479,0.739423930644989,0.06441856175661087,0.8383821845054626
0.08151102811098099,0.7989046573638916,0.05858746916055679,0.8414933681488037
0.07640253007411957,0.8076202273368835,0.05611295998096466,0.8531193733215332
0.07457257062196732,0.8130970597267151,0.056787487119436264,0.8531193733215332
0.072748102247715,0.8162630200386047,0.054014652967453,0.8611429333686829
0.0717349573969841,0.8152804970741272,0.05353260040283203,0.8547568321228027
0.0699787437915802,0.8210301995277405,0.05338514968752861,0.8588504791259766
0.06930118799209595,0.8195199966430664,0.053735263645648956,0.857376754283905
0.06850602477788925,0.8225404620170593,0.05238160490989685,0.8581954836845398
0.06801056861877441,0.8237959146499634,0.053022291511297226,0.8583592772483826
0.06712141633033752,0.8265798091888428,0.05222725123167038,0.8595054745674133
0.06667947769165039,0.826507031917572,0.05281083658337593,0.8577042818069458
0.06634864211082458,0.8263614773750305,0.05269595608115196,0.8575405478477478
0.06614690274000168,0.8293091058731079,0.051901835948228836,0.8575405478477478
0.06560099869966507,0.8284357190132141,0.05206761509180069,0.8588504791259766
0.0653601735830307,0.8286176919937134,0.05118922144174576,0.8575405478477478
0.06549946963787079,0.8274895548820496,0.05245000123977661,0.8593417406082153
0.06464804708957672,0.8295456767082214,0.05309634655714035,0.8598330020904541
0.06497084349393845,0.8290907740592957,0.05193274840712547,0.8598330020904541
0.06431237608194351,0.8299095630645752,0.05195167660713196,0.8590142726898193
