loss,MLP_ACC,val_loss,val_MLP_ACC
0.15385548770427704,0.681208610534668,0.08167445659637451,0.8405271768569946
0.1258109211921692,0.7160604000091553,0.07952506095170975,0.8501921892166138
0.1207142174243927,0.7259691953659058,0.08175932615995407,0.820867657661438
0.11769688874483109,0.7339987754821777,0.0817771628499031,0.8574409484863281
0.11496227234601974,0.7395877838134766,0.07963722944259644,0.8249313831329346
0.11222129315137863,0.7458845376968384,0.0762750655412674,0.8475562930107117
0.11063859611749649,0.749521017074585,0.07304099947214127,0.8907194137573242
0.10842031985521317,0.7561350464820862,0.07430427521467209,0.9136738181114197
0.10757660865783691,0.7575750350952148,0.07473273575305939,0.8753432035446167
0.10512907803058624,0.7627612948417664,0.07310028374195099,0.9149917364120483
0.10416771471500397,0.7649334073066711,0.0691063180565834,0.8526084423065186
0.1037641316652298,0.7665442228317261,0.07333831489086151,0.8515101671218872
0.10287903249263763,0.7670811414718628,0.0708722248673439,0.8588687777519226
0.10293058305978775,0.7682282328605652,0.07385439425706863,0.8514003157615662
0.10270393639802933,0.7677401304244995,0.07330208271741867,0.9023613333702087
0.10138354450464249,0.7706932425498962,0.06881840527057648,0.8528281450271606
0.10072944313287735,0.7719257473945618,0.07066195458173752,0.8774299621582031
0.10102226585149765,0.7696560025215149,0.06904677301645279,0.8900604248046875
0.10046123713254929,0.7738660573959351,0.07116711139678955,0.854805052280426
0.10040987282991409,0.7728165984153748,0.0737847089767456,0.8521691560745239
